4OGC_events_top
commonName,mass_1_source,mass_2_source
GW150914_095045  ,35.986053,27.371181
GW151012_095443  ,16.196154,28.05287
GW151226_033853  ,4.163724,37.40002
GW170104_101158  ,26.636831,27.294216
GW170121_212536  ,39.966484,20.360205
GW170202_135657  ,27.51642,32.48126
GW170304_163753  ,46.90803,49.20614
GW170403_230611  ,60.933754,81.14825
GW170608_020116  ,13.059284,7.4323406
 GW170727_010430 ,46.90803,49.20614
 GW170729_185629 ,39.094944,65.68194
 GW170809_082821 ,40.074715,31.307121
 GW170814_103043 ,27.809591,40.075542
 GW170817_124104 ,1.5210252,1.246091
 GW170818_022509 ,41.297234,33.87965
 GW170823_131358 ,62.826748,16.208044
 GW190404_142514 ,22.483957,24.505323
 GW190408_181802 ,11.485428,41.86331
 GW190412_053044 ,133.58084,4.581572
 GW190413_052954 ,33.485386,65.56729
 GW190413_134308 ,66.24957,59.203125
 GW190421_213856 ,46.31558,57.3984
 GW190424_180648 ,35.66234,59.54399
 GW190425_081805 ,1.7057296,1.7117795
 GW190427_180650 ,13.0195,7.8885508
 GW190503_185404 ,46.90803,49.20614
 GW190512_180714 ,18.670063,24.373281
 GW190513_205428 ,23.71244,46.15268
 GW190514_065416 ,66.24957,59.203125
 GW190517_055101 ,48.38132,41.180195
 GW190519_153544 ,106.84308,2.0424724
 GW190521_030229 ,156.89229,92.04818
 GW190521_074359 ,49.812782,43.748158
 GW190527_092055 ,34.54296,46.822304
 GW190602_175927 ,52.15093,96.9261
 GW190620_030421 ,45.102196,71.17369
 GW190630_185205 ,32.697704,31.132599
 GW190701_203306 ,64.971504,73.96176
 GW190706_222641 ,58.99522,106.68345
 GW190707_093326 ,4.1942854,40.161335
 GW190708_232457 ,18.176466,17.603342
 GW190719_215514 ,54.06656,28.173262
 GW190720_000836 ,11.517532,12.368719
 GW190725_174728 ,7.4807487,14.447215
 GW190727_060333 ,19.009514,78.51099
 GW190728_064510 ,24.317463,5.9940057
 GW190731_140936 ,45.102196,71.17369
 GW190803_022701 ,56.542446,45.950874
 GW190805_105432 ,9.370218,18.27938
 GW190814_211039 ,3.1242018,20.116863
 GW190828_063405 ,48.4337,49.960907
 GW190828_065509 ,14.21584,27.32036
 GW190910_112807 ,51.53037,52.176044
 GW190915_235702 ,28.496109,33.981106
 GW190916_200658 ,75.54074,40.910206
 GW190924_021846 ,1.9541444,42.87274
 GW190925_232845 ,21.131351,22.77268
 GW190926_050336 ,53.209656,37.043217
 GW190929_012149 ,101.44012,2.0770173
 GW190930_133541 ,12.8975525,9.513123
 GW191105_143521 ,8.136042,15.017665
 GW191109_010717 ,60.933754,81.14825
 GW191126_115259 ,13.334971,12.404552
 GW191127_050227 ,45.102196,71.17369
 GW191129_134029 ,1.9899185,93.04795
 GW191204_110529 ,36.08655,26.489702
 GW191204_171526 ,3.4560401,51.716812
 GW191215_223052 ,28.843716,27.482573
 GW191216_213338 ,47.00425,3.2486572
 GW191222_033537 ,49.43001,65.746254
 GW191224_043228 ,10.71404,18.821081
 GW191230_180458 ,52.15093,96.9261
 GW200105_162426 ,1.5540586,13.722533
 GW200106_134123 ,51.074226,89.029724
 GW200112_155838 ,39.148388,37.62475
 GW200115_042309 ,1.7819495,5.195248
 GW200128_022011 ,46.31558,57.3984
 GW200129_065458 ,28.496109,33.981106
 GW200129_114245 ,45.814632,81.07843
 GW200202_154313 ,7.01234,12.589897
 GW200208_130117 ,35.66234,59.54399
 GW200209_085452 ,46.31558,57.3984
 GW200210_005122 ,9.48001,8.629119
 GW200214_223307 ,46.08652,64.997345
 GW200216_220804 ,51.074226,89.029724
 GW200219_094415 ,46.90803,49.20614
 GW200224_222234 ,49.812782,43.748158
 GW200225_060421 ,19.636055,16.837717
 GW200302_015811 ,38.57173,40.461086
 GW200305_084739 ,46.31558,57.3984
 GW200306_093714 ,32.201096,24.494904
 GW200311_115853 ,38.491394,42.561615
 GW200316_215756 ,10.189731,14.64899
 GW200318_191337 ,52.15093,96.9261
