Event name,FAR_min,p_astro,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chi_eff,chi_eff_lower,chi_eff_upper,,First appears in,catalog.shortName,GPS time (s)
GW150914,1.00E-05,0.99,35.6,-3.1,4.7,30.6,-4.4,3.0,28.6,-1.5,1.7,-0.01,-0.13,0.12,,https://doi.org/10.1103/PhysRevLett.116.061102,GWTC-1-confident,1126259462.4
GW151012,0.00792,0.99,23.2,-5.5,14.9,13.6,-4.8,4.1,15.2,-1.2,2.1,0.05,-0.2,0.31,,https://doi.org/10.1103/PhysRevX.6.041015,GWTC-1-confident,1128678900.4
GW151226,1.00E-05,0.99,13.7,-3.2,8.8,7.7,-2.5,2.2,8.9,-0.3,0.3,0.18,-0.12,0.2,,https://doi.org/10.1103/PhysRevLett.116.241103,GWTC-1-confident,1135136350.6
GW170104,1.00E-05,0.99,30.8,-5.6,7.3,20.0,-4.6,4.9,21.4,-1.8,2.2,-0.04,-0.21,0.17,,https://doi.org/10.1103/PhysRevLett.118.221101,GWTC-1-confident,1167559936.6
GW170608,1.00E-05,0.99,11.0,-1.7,5.5,7.6,-2.2,1.4,7.9,-0.2,0.2,0.03,-0.07,0.19,,https://doi.org/10.3847/2041-8213/aa9f0c,GWTC-1-confident,1180922494.5
GW170729,0.18,0.98,50.2,-10.2,16.2,34.0,-10.1,9.1,35.4,-4.8,6.5,0.37,-0.25,0.21,,https://doi.org/10.1103/PhysRevX.9.031040,GWTC-1-confident,1185389807.3
GW170809,1.00E-05,0.99,35.0,-5.9,8.3,23.8,-5.2,5.1,24.9,-1.7,2.1,0.08,-0.17,0.17,,https://doi.org/10.1103/PhysRevX.9.031040,GWTC-1-confident,1186302519.8
GW170814,1.00E-05,0.99,30.6,-3.0,5.6,25.2,-4.0,2.8,24.1,-1.1,1.4,0.07,-0.12,0.12,,https://doi.org/10.1103/PhysRevLett.119.141101,GWTC-1-confident,1186741861.5
GW170817,1.00E-05,0.99,1.46,-0.10,0.12,1.27,-0.09,0.09,1.186,-0.001,0.001,0,-0.01,0.02,,https://doi.org/10.1103/PhysRevLett.119.161101,GWTC-1-confident,1187008882.4
GW170818,1.00E-05,0.99,35.4,-4.7,7.5,26.7,-5.2,4.3,26.5,-1.7,2.1,-0.09,-0.21,0.18,,https://doi.org/10.1103/PhysRevX.9.031040,GWTC-1-confident,1187058327.1
GW170823,1.00E-05,0.99,39.5,-6.7,11.2,29.0,-7.8,6.7,29.2,-3.6,4.6,0.09,-0.26,0.22,,https://doi.org/10.1103/PhysRevX.9.031040,GWTC-1-confident,1187529256.5
GW190408_181802,1.00E-05,0.99,24.6,-3.4,5.1,18.4,-3.6,3.3,18.3,-1.2,1.9,-0.03,-0.19,0.14,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1238782700.3
GW190412_053044,1.00E-05,0.99,30.1,-5.1,4.7,8.3,-0.9,1.6,13.3,-0.3,0.4,0.25,-0.11,0.08,,https://doi.org/10.1103/PhysRevD.102.043015,GWTC-2,1239082262.2
GW190413_052954,0.817,0.93,34.7,-8.1,12.6,23.7,-6.7,7.3,24.6,-4.1,5.5,-0.01,-0.34,0.29,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1239168612.5
GW190413_134308,0.181,0.99,47.5,-10.7,13.5,31.8,-10.8,11.7,33,-5.4,8.2,-0.03,-0.29,0.25,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1239198206.7
GW190421_213856,0.00283,0.99,41.3,-6.9,10.4,31.9,-8.8,8.0,31.2,-4.2,5.9,-0.06,-0.27,0.22,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1239917954.3
GW190425_081805,0.0338,0.78,2.0,-0.3,0.6,1.4,-0.3,0.3,1.44,-0.02,0.02,0.06,-0.05,0.11,,https://doi.org/10.3847/2041-8213/ab75f5,GWTC-2,1240215503.0
GW190426_152155,0.912,0.14,5.7,-2.3,3.9,1.5,-0.5,0.8,2.41,-0.08,0.08,-0.03,-0.3,0.32,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1240327333.3
GW190503_185404,1.00E-05,0.99,43.3,-8.1,9.2,28.4,-8.0,7.7,30.2,-4.2,4.2,-0.03,-0.26,0.2,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1240944862.3
GW190512_180714,1.00E-05,0.99,23.3,-5.8,5.3,12.6,-2.5,3.6,14.6,-1,1.3,0.03,-0.13,0.12,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1241719652.4
GW190513_205428,1.00E-05,0.99,35.7,-9.2,9.5,18.0,-4.1,7.7,21.6,-1.9,3.8,0.11,-0.17,0.28,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1241816086.8
GW190517_055101,3.47E-04,0.99,37.4,-7.6,11.7,25.3,-7.3,7.0,26.6,-4,4,0.52,-0.19,0.19,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1242107479.8
GW190519_153544,1.00E-05,0.99,66.0,-12.0,10.7,40.5,-11.1,11.0,44.5,-7.1,6.4,0.31,-0.22,0.2,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1242315362.4
GW190521_030229,1.00E-05,0.99,95.3,-18.9,28.7,69.0,-23.1,22.7,69.2,-10.6,17,0.03,-0.39,0.32,,https://doi.org/10.1103/PhysRevLett.125.101102,GWTC-2,1242442967.4
GW190521_074359,1.00E-02,0.99,42.2,-4.8,5.9,32.8,-6.4,5.4,32.1,-2.5,3.2,0.09,-0.13,0.1,,https://doi.org/10.1103/PhysRevLett.125.101102,GWTC-2,1242459857.5
GW190527_092055,0.228,0.85,36.5,-9.0,16.4,22.6,-8.1,10.5,24.3,-4.2,9.1,0.11,-0.28,0.28,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1242984073.8
GW190602_175927,1.00E-05,0.99,69.1,-13.0,15.7,47.8,-17.4,14.3,49.1,-8.5,9.1,0.07,-0.24,0.25,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1243533585.1
GW190620_030421,0.0112,0.99,57.1,-12.7,16.0,35.5,-12.3,12.2,38.3,-6.5,8.3,0.33,-0.25,0.22,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1245035079.3
GW190630_185205,1.00E-05,0.99,35.1,-5.6,6.9,23.7,-5.1,5.2,24.9,-2.1,2.1,0.1,-0.13,0.12,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1245955943.2
GW190701_203306,5.71E-03,0.99,53.9,-8.0,11.8,40.8,-12.0,8.7,40.3,-4.9,5.4,-0.07,-0.29,0.23,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1246048404.6
GW190706_222641,1.00E-05,0.99,67.0,-16.2,14.6,38.2,-13.3,14.6,42.7,-7,10,0.28,-0.29,0.26,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1246487219.3
GW190707_093326,1.00E-05,0.99,11.6,-1.7,3.3,8.4,-1.7,1.4,8.5,-0.5,0.6,-0.05,-0.08,0.1,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1246527224.2
GW190708_232457,3.09E-04,0.99,17.6,-2.3,4.7,13.2,-2.7,2.0,13.2,-0.6,0.9,0.02,-0.08,0.1,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1246663515.4
GW190719_215514,0.631,0.92,36.5,-10.3,18.0,20.8,-7.2,9.0,23.5,-4,6.5,0.32,-0.31,0.29,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1247608532.9
GW190720_000836,1.00E-05,0.99,13.4,-3.0,6.7,7.8,-2.2,2.3,8.9,-0.8,0.5,0.18,-0.12,0.14,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1247616534.7
GW190725_174728,0.458,0.96,11.5,-2.7,6.2,6.4,-2.0,2.0,7.4,-0.5,0.6,-0.04,-0.14,0.26,,https://arxiv.org/abs/2105.09151,"3-OGC, GWTC-2.1-confident",1248112066.4
GW190727_060333,1.00E-05,0.99,38.0,-6.2,9.5,29.4,-8.4,7.1,28.6,-3.7,5.3,0.11,-0.25,0.26,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1248242632.0
GW190728_064510,1.00E-05,0.99,12.3,-2.2,7.2,8.1,-2.6,1.7,8.6,-0.3,0.5,0.12,-0.07,0.2,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1248331528.5
GW190731_140936,0.335,0.78,41.5,-9.0,12.2,28.8,-9.5,9.7,29.5,-5.2,7.1,0.06,-0.24,0.24,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1248617394.6
GW190803_022701,0.0732,0.94,37.3,-7.0,10.6,27.3,-8.2,7.8,27.3,-4.1,5.7,-0.03,-0.27,0.24,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1248834439.9
GW190805_211137,0.628,0.95,48.2,-12.5,17.5,32.0,-11.4,13.4,33.5,-7,10.1,0.35,-0.36,0.3,,https://arxiv.org/abs/2108.01045,GWTC-2.1-confident,1249074715.3
GW190814_211039,1.00E-05,0.99,23.2,-1.0,1.1,2.59,-0.09,0.08,6.09,-0.06,0.06,0,-0.06,0.06,,https://doi.org/10.3847/2041-8213/ab960f,GWTC-2,1249852257.0
GW190828_063405,1.00E-05,0.99,32.1,-4.0,5.8,26.2,-4.8,4.6,25,-2.1,3.4,0.19,-0.16,0.15,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1251009263.8
GW190828_065509,1.00E-05,0.99,24.1,-7.2,7.0,10.2,-2.1,3.6,13.3,-1,1.2,0.08,-0.16,0.16,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1251010527.9
GW190910_112807,2.87E-03,0.99,43.9,-6.1,7.6,35.6,-7.2,6.3,34.3,-4.1,4.1,0.02,-0.18,0.18,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1252150105.3
GW190915_235702,1.00E-05,0.99,35.3,-6.4,9.5,24.4,-6.1,5.6,25.3,-2.7,3.2,0.02,-0.25,0.2,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1252627040.7
GW190917_114630,0.656,0.77,9.3,-4.4,3.4,2.1,-0.5,1.5,3.7,-0.2,0.2,-0.11,-0.49,0.24,,https://arxiv.org/abs/2108.01045,GWTC-2.1-confident,1252756008.0
GW190924_021846,1.00E-05,0.99,8.9,-2.0,7.0,5.0,-1.9,1.4,5.8,-0.2,0.2,0.03,-0.09,0.3,,https://doi.org/10.1103/PhysRevX.11.021053,GWTC-2,1253326744.8
